case_id,strategy,symbols,rows,runtime_s,start_date,end_date,starting_value,ending_value,roi,cagr,sharpe,max_drawdown,mean_cash_utilization
GS-01,NoRebalance,SPY,4050,0.4104599180009245,2010-01-04,2026-02-09,100000.0,612168.5888824463,5.121685888824463,0.11933701311804557,0.7409513171228624,-0.3409278784858951,0.9994845850357943
GS-02,DualMomentum,"SPY,TLT",4050,0.6236836039988702,2010-01-04,2026-02-09,100000.0,177024.74169921875,0.7702474169921875,0.036175274358535514,0.3500082214146354,-0.26716640611147924,0.6397246913649668
GS-03,RiskParity,"SPY,QQQ,TLT",4050,0.9912023469987616,2010-01-04,2026-02-09,100000.0,396359.6471633911,2.963596471633911,0.08946793729335378,0.838197540318929,-0.2964426089854406,0.9433822492332677
